start,end,label,detail
2011-04-20,2012-03-31,initial_restriction,"Rapid weight loss 262→210. Cereal (Cheerios, Crispix, Frosted Flakes) + milk + Annie Chun's noodle bowls + romaine salads. 1700-2000 cal/day."
2012-04-01,2013-09-30,continued_loss,"210→170. Same staples plus granola bars (Nature Valley dominant) + Gardein faux-meat products + frozen meals (Lean Cuisine). Calorie creeping up to ~2000."
2013-10-01,2014-12-31,maintenance_drift,"170→185. Granola bars + mac & cheese (ETCH) + faux meat (Gardein, Morningstar) + Jif Whips peanut butter. More variety, calories 2000-2400."
2015-01-01,2015-08-31,regain_begins,"185→190. Same foods but higher quantities. Joseph's pita bread + baba ghanouj + bean chili. Calories ~2100."
2015-09-01,2015-09-23,travel_binge_1,"Sep 2015 travel. Falafel, beer (Amstel, Efes), basmati rice. 3500 cal/day for 3 weeks."
2015-10-01,2016-07-31,post_travel_recomp,"190→195. Brown rice + canola oil cooking era begins. Morningstar crumbles chili. Ben & Jerry's FroYo appears. Some restriction months (Feb-Mar 2016: 1600 cal)."
2016-08-01,2016-12-31,sweet_earth_era,"195→198. Sweet Earth bacon, Trader Joe's granola, Beyond Meat appears. Ben & Jerry's frequent."
2017-01-01,2017-09-30,gardein_maple_era,"198→200. Gardein crispy tenders + maple syrup dominates (27×/month). Beyond Burger arrives Aug 2017. Quest protein bars. Pre-keto buildup."
2017-10-01,2017-10-31,high_protein_experiment,"Sudden protein push: Quest protein powder, avocado, Tofurky deli slices, almond milk. Protein 27%."
2017-10-18,2018-01-11,keto_phase_1,"First keto attempt. Palak paneer (Trader Joe's frozen), crispbread, pistachios, moon cheese. Fat 60%+ carb 16-21%."
2018-01-22,2018-03-22,keto_phase_2,"Sustained keto. Quest cookies, Quest BBQ chips, Hail Merry tarts, keto chili, Lily's chocolate. Heavy sugar-alcohol products."
2018-04-01,2019-05-31,enlightened_era,"Post-keto. Enlightened ice cream bars (Chocolate Peanut Butter: up to 34×/month) + Chocorite candy (PB cups, pecan clusters, coconut almond) dominate. Avocado regular. ChocZero chocolate syrup. Quest pizzas. 2000-2200 cal."
2019-06-01,2019-06-30,travel_binge_2,"Jun 2019 travel. Amstel beer, baklava, cashews, KitKat. 2539 cal/day."
2019-07-01,2019-09-30,post_travel_restriction,"Back to Enlightened + Chocorite. PB cup cheesecake (homemade). Avocado + taco shells. 1600-1800 cal."
2019-10-12,2019-11-24,weekend_fasting,"Seven consecutive Sat-Sun 36-hour fasts (<200 cal). Weekday eating normal ~2400 cal. Weight cycling 208-215."
2019-12-01,2020-03-31,pre_covid,"Holiday spike (Dec 2479). Then Chocorite dominant. Homemade baking appears (orange sweet rolls, strawberry bread, brownies). COVID transition."
2020-04-01,2020-12-31,covid_lockdown,"COVID year. Chocorite PB cups + Enlightened bars continue. Fritos chili cheese. Deep Malai Kofta (frozen Indian). Pina colada recipe. Homemade baking (mint chocolate PB rolls, cheesecake bars). 1800-2300 cal."
2021-01-01,2022-12-31,slate_chocolate_milk_era,"Slate dark chocolate milk dominates (20-30×/month for 2 years). Homemade baking regular (scones, cheesecake, key lime pie, orange tofu). Coffee becomes a staple. Chocorite continues. 2000-2350 cal. Weight 210→220."
2022-11-13,2022-11-25,potato_diet_1,"13 days. 500g potato × 2 + olive/avocado oil. 1500-2200 cal/day. 45-61% potato by calories."
2023-01-02,2023-02-10,potato_diet_2,"~12 potato days (every 2-3 days). 500g potato × 2 + olive oil + Better Bagel + cream cheese. ~1500 cal."
2023-02-11,2023-07-13,post_potato_plateau,"Return to normal eating. Weight 220-225."
2023-07-14,2023-08-19,low_protein_experiment,"Low protein period (45g/day, 8%). Weight 222-226."
2023-08-20,2023-08-25,potato_diet_3,"6 days. Boiled potato 500g × 3 + olive oil. 1674-2223 cal. 74-77% potato. Purest attempt."
2023-08-26,2024-02-25,pre_tirzepatide_baseline_1,"Return to normal eating. Weight 225-230."
2024-02-26,2024-03-06,potato_diet_4,"9 days. Yukon Gold 1 lb × 4 + Kerrygold butter + heavy cream + vodka. 1779-2126 cal. 62-75% potato."
2024-03-07,2024-09-16,pre_tirzepatide_baseline_2,"Final pre-drug period. Weight 225-230."
2024-09-17,2026-02-28,tirzepatide_era,"GLP-1 agonist. Dose escalation 2.5→12.5mg. Weight 225→203. Intake drops 456 cal/day. Binge rate 12.2%→3.4%."
